"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"airport.44.1","airport","A2","Check-in + Bagaj","Check-in Agent","Airline check-in counter","3","Good morning. Passport and ticket, please. Where are you flying today? || Great. Any bags to check today? || Please place it on the belt. Do you have any liquids, batteries, or sharp objects in your carry-on?","Hi, checking in for TK0001 to Istanbul. Here's my passport. || One bag to check, and a carry-on. || No liquids — just my laptop and charger.","Net aç: 'Hi, checking in for TK0001 to Istanbul. Here's my passport.' || Sayı + 'to check' + carry-on: 'One bag to check, and a carry-on.' || Net cevap: 'No liquids — just my laptop and charger.' veya 'All liquids under 100ml.'","","","",""
"airport.44.14","airport","B1","Aktarmayı Kaçırdım — Rebook İste","Airline Service Agent","Lufthansa transfer desk, late evening, busy","3","Next, please. How can I help? || Sorry to hear that. What was your original flight number? || I see. The next flight is tomorrow morning at 8am. Does that work? || Nothing earlier, I'm afraid. Since this is our delay, you get a hotel voucher.","Hi, I missed my connection to Istanbul because the first flight was delayed. || LH9, from Istanbul to Frankfurt, then LH600 to Boston. || Anything earlier tonight, or do I have to wait until morning?","Sakin aç: 'Hi, I missed my connection to Istanbul because the first flight was delayed.' Suçlama yok, bilgi ver. || Uçuş numarası ver: 'LH9, from Istanbul to Frankfurt, then LH600 to Boston.' || Daha erken sor: 'Anything earlier tonight, or do I have to wait until morning?'","","","",""
"airport.44.19","airport","C2","Upgrade İste — Long-haul Rahatlığı","Check-in Agent","Premium check-in counter, calm afternoon","3","Good afternoon. Checking in for New York? || We do have a couple of seats open in business. Were you looking to upgrade? || Cash upgrade is 1,200 dollars. Or 60,000 miles if you're with our program. || Premium economy is 350 dollars. Includes lounge access, priority boarding, and a better meal.","Yes, checking in for TK1 to JFK. By any chance, is there any upgrade availability today? || Yes, if possible — what are my options to upgrade? || Hmm — what about premium economy as a middle option?","Check-in + soru için köprü: 'Yes, checking in for TK1 to JFK. By any chance, is there any upgrade availability today?' || Kibar + meraklı: 'Yes, if possible — what are my options to upgrade?' 'I want upgrade' kaba. || Pazarlık: 'Hmm — what about premium economy as a middle option?' Mil sor: 'Could I use my miles instead?'","","","",""
"arc.apartment_hunt.1","arc","A2","Sahne 1 — Daniel'a ilk arama: budget + criteria","Daniel (estate agent, efficient)","Phone call to Foxtons Shoreditch, Tuesday morning","3","Foxtons, Daniel speaking. What can I help with? || Sure — budget? || Areas you're looking at?","Looking for a one-bed, starting next month. || Up to £1800 PCM. || Zone 1 or 2, near Liverpool Street.","Net açılış: 'Looking for a one-bed, starting next month.' Türk: 'I need house' eksik, oda + zaman. || Bütçe: 'Up to £1800 PCM.' Türk: 'Not much' belirsiz, sayı + 'PCM' = per calendar month. || Bölge: 'Zone 1 or 2, near Liverpool Street.' Türk: 'Center' belirsiz, semt + bölge.","","","",""
"arc.apartment_hunt.4","arc","B1","Sahne 4 — Daniel: 'rent fiyatı için pazarlık'","Daniel (estate agent, negotiating with landlord)","Phone call, after viewing, Monday morning","3","Mrs. Pemberton liked you. The flat's yours if you want it. || She's firm on price. What's your case? || Three months upfront is interesting. Let me ask. || Back in an hour.","Interested — with one ask. || Comparable units go for less — I'd be long-term. || No rush — common ground.","Pazarlık açış: 'Interested — with one ask.' Türk: 'Yes but cheaper' kaba, kibar açıl. || Kanıt + teklif: 'Comparable units go for less — I'd be long-term.' Türk: 'Just give discount' belirsiz, somut. || Sabır: 'No rush — common ground.' Türk: 'Hurry' baskı, agent'a saygı.","","","",""
"arc.customer_support.7","arc","B2","Sahne 7 — VIP müşteri özel istek: 'I need this today'","VIP customer demanding impossible turnaround","VIP support line, Friday 4pm","3","I need this resolved before close of business today. It's critical. || We have a client demo at 9 tomorrow. The integration is broken. || I don't have 30 minutes. || A workaround would work — just for the demo.","Let me see what we can do. || Here's what I can do. || Would a workaround help?","Aciliyet onayla: 'Let me see what we can do.' Türk: 'I can't' kapalı, dene. || Çerçeve: 'Here's what I can do.' Türk: 'OK' düz, somut adım. || Pazarlık: 'Would a workaround help?' Türk: 'No' kapalı, alternatif.","","","",""
"arc.apartment_hunt.7","arc","C2","Sahne 7 — Komşu şikayeti: 'gürültü'","Upstairs neighbour (tense, polite)","Doorstep encounter, Saturday morning","3","Hi — sorry to bother. The music last night was quite loud. || No worries, just — past midnight is rough. || Appreciate that. I work early shifts. || That'd actually help. I'm Sam, by the way.","I had no idea — thanks for coming to me. || It won't happen again. || Could I give you my number?","Hızlı özür: 'I had no idea — thanks for coming to me.' Türk: 'I didn't' defansif, sorumlu + minnet. || Söz: 'It won't happen again.' Türk: 'OK' yetersiz, somut taahhüt. || Pratik: 'Could I give you my number?' Türk: 'Sorry' yetersiz, sistem kur.","","","",""
"bar.approach.24.15","bar","A2","Spor Bari — Mac Sohbeti","Stranger at next table","Sports bar during a game","3","Did you see that play? Insane. || Big fan of the Lakers. You? || Cool — where you watching from usually?","You a fan of either team? || Lakers fan too || Usually at home, but visiting","Tepki ver: 'Yeah, insane!' Sonra: 'You a fan of either team?' || Cevap: 'Lakers fan too' veya 'I don't really follow'. || Sohbet kur: 'Usually at home, but visiting' veya 'I'm from Turkey'.","","","",""
"bar.approach.24.1","bar","B1","Bar'da Sohbet Acilisi","Stranger at bar","Bar counter","3","It's a smoked old fashioned. Solid choice if you're into whisky. || Yeah, very smoky but smooth. Bartender knows their stuff here. You a regular?","Quick question — that looks good. What are you drinking? || Oh nice — usually a gin person but might try. Worth it? || No, first time — my friend recommended it","Cevre-bazli ac: 'Quick question — that looks good. What are you drinking?' || Devam: 'Oh nice — usually a gin person but might try. Worth it?' || Yer ilişkisi: 'No, first time — my friend recommended it' veya 'Kind of a regular, come once a month'. Türk öğrenci 'evet'/'hayır' kuru bırakır; bir cümle daha ekle (sebep, sıklık, kaynak).","","","",""
"bar.approach.24.11","bar","B2","Wingman — Arkadaşı Tanıştırmak","Stranger (Sarah)","Bar, you're with a shy friend, Sarah is the stranger you met","3","Oh hey, you're back. Who's this? || Nice to meet you Burak! How's your Erasmus going? || Oh nice, I love hiking too! Where've you been? || Haha okay, thanks for the intro!","Hey, this is my friend Burak — he's also here for Erasmus || He's super into hiking — you two should chat! || I'll let you two chat — grabbing a drink!","Tanıştır: 'Hey, this is my friend Burak — he's also here for Erasmus'. || Yardım et: 'He's super into hiking — you two should chat!' || Geri çekil: 'I'll let you two chat — grabbing a drink!'","","","",""
